"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create new product","SUCCESS","2023-01-04T15:56:26.733Z[Europe/London]","0.0","0.14"
"Product CRUD test with steps","Verify if the product was added to the list","SUCCESS","2023-01-04T15:56:26.871Z[Europe/London]","0.0","0.08"
"Product CRUD test with steps","Update the product information","SUCCESS","2023-01-04T15:56:26.955Z[Europe/London]","0.0","0.18"
"Product CRUD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2023-01-04T15:56:27.138Z[Europe/London]","0.0","0.23"
