"Story","Title","Result","Date","Stability","Duration (s)"
"Store CURD test with steps","This will create new product","SUCCESS","2023-01-04T15:56:15.460Z[Europe/London]","0.0","7.65"
"Store CURD test with steps","Verify if the product was added to application","SUCCESS","2023-01-04T15:56:23.222Z[Europe/London]","0.0","0.14"
"Store CURD test with steps","This will update product","SUCCESS","2023-01-04T15:56:23.371Z[Europe/London]","0.0","0.22"
"Store CURD test with steps","This will delete product","SUCCESS","2023-01-04T15:56:23.594Z[Europe/London]","0.0","0.23"
